Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Chrome 88.0.4324.190,,,2021-03-09 19:37:15,2021-03-09 19:37:16,0.803s,PASSED
,,,,,,,
Test Cases/2.ContactUsPage/TC-ContactUs-009,Chrome 88.0.4324.190,Email is blank,Email je obavezan,2021-03-09 19:37:16,2021-03-09 19:37:33,17.296s,PASSED
"openBrowser(""https://www.banatbar.rs/en"")",Chrome 88.0.4324.190,,,2021-03-09 19:37:16,2021-03-09 19:37:21,4.714s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:37:21,2021-03-09 19:37:21,0.069s,PASSED
maximizeWindow(),Chrome 88.0.4324.190,,,2021-03-09 19:37:21,2021-03-09 19:37:21,0.171s,PASSED
"click(findTestObject(""ContactUsPage/ContactUs-Link""))",Chrome 88.0.4324.190,,,2021-03-09 19:37:21,2021-03-09 19:37:23,1.900s,PASSED
"waitForElementVisible(findTestObject(""ContactUsPage/Name-Input""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:37:23,2021-03-09 19:37:23,0.469s,PASSED
"setText(findTestObject(""ContactUsPage/Name-Input""), Name)",Chrome 88.0.4324.190,,,2021-03-09 19:37:23,2021-03-09 19:37:24,0.775s,PASSED
"setText(findTestObject(""ContactUsPage/Email-Input""), """")",Chrome 88.0.4324.190,,,2021-03-09 19:37:24,2021-03-09 19:37:26,1.983s,PASSED
"setText(findTestObject(""ContactUsPage/TextBox-Input""), TextBox)",Chrome 88.0.4324.190,,,2021-03-09 19:37:26,2021-03-09 19:37:27,0.834s,PASSED
delay(2),Chrome 88.0.4324.190,,,2021-03-09 19:37:27,2021-03-09 19:37:29,2.006s,PASSED
"click(findTestObject(""ContactUsPage/SubmitBtn""))",Chrome 88.0.4324.190,,,2021-03-09 19:37:29,2021-03-09 19:37:30,0.471s,PASSED
"verifyElementText(findTestObject(""ContactUsPage/EmailObavezan""), ""Email je obavezan."")",Chrome 88.0.4324.190,,,2021-03-09 19:37:30,2021-03-09 19:37:30,0.497s,PASSED
delay(2),Chrome 88.0.4324.190,,,2021-03-09 19:37:30,2021-03-09 19:37:32,2.003s,PASSED
closeBrowser(),Chrome 88.0.4324.190,,,2021-03-09 19:37:32,2021-03-09 19:37:33,0.810s,PASSED
,,,,,,,
Test Cases/2.ContactUsPage/TC-ContactUs-010,Chrome 88.0.4324.190,Text is blank,Poruka je obavezna,2021-03-09 19:37:33,2021-03-09 19:37:51,17.801s,PASSED
"openBrowser(""https://www.banatbar.rs/en"")",Chrome 88.0.4324.190,,,2021-03-09 19:37:33,2021-03-09 19:37:38,4.645s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:37:38,2021-03-09 19:37:38,0.022s,PASSED
maximizeWindow(),Chrome 88.0.4324.190,,,2021-03-09 19:37:38,2021-03-09 19:37:38,0.134s,PASSED
"click(findTestObject(""ContactUsPage/ContactUs-Link""))",Chrome 88.0.4324.190,,,2021-03-09 19:37:38,2021-03-09 19:37:40,1.774s,PASSED
"waitForElementVisible(findTestObject(""ContactUsPage/Name-Input""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:37:40,2021-03-09 19:37:41,0.529s,PASSED
"setText(findTestObject(""ContactUsPage/Name-Input""), Name)",Chrome 88.0.4324.190,,,2021-03-09 19:37:41,2021-03-09 19:37:41,0.759s,PASSED
"setText(findTestObject(""ContactUsPage/Email-Input""), Email)",Chrome 88.0.4324.190,,,2021-03-09 19:37:41,2021-03-09 19:37:43,1.907s,PASSED
"setText(findTestObject(""ContactUsPage/TextBox-Input""), """")",Chrome 88.0.4324.190,,,2021-03-09 19:37:43,2021-03-09 19:37:44,0.888s,PASSED
delay(2),Chrome 88.0.4324.190,,,2021-03-09 19:37:44,2021-03-09 19:37:46,2.003s,PASSED
"click(findTestObject(""ContactUsPage/SubmitBtn""))",Chrome 88.0.4324.190,,,2021-03-09 19:37:46,2021-03-09 19:37:47,0.487s,PASSED
"verifyElementText(findTestObject(""ContactUsPage/PorukaObavezna""), ""Poruka je obavezna."")",Chrome 88.0.4324.190,,,2021-03-09 19:37:47,2021-03-09 19:37:48,0.956s,PASSED
delay(2),Chrome 88.0.4324.190,,,2021-03-09 19:37:48,2021-03-09 19:37:50,2.004s,PASSED
closeBrowser(),Chrome 88.0.4324.190,,,2021-03-09 19:37:50,2021-03-09 19:37:51,1.080s,PASSED
,,,,,,,
Test Cases/2.ContactUsPage/TC-ContactUs-011,Chrome 88.0.4324.190,Name with numbers and special caracters,Ime ne sme sadrzati brojevei specijalne karaktere,2021-03-09 19:37:51,2021-03-09 19:38:08,17.622s,PASSED
"openBrowser(""https://www.banatbar.rs/en"")",Chrome 88.0.4324.190,,,2021-03-09 19:37:51,2021-03-09 19:37:56,4.957s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:37:56,2021-03-09 19:37:56,0.039s,PASSED
maximizeWindow(),Chrome 88.0.4324.190,,,2021-03-09 19:37:56,2021-03-09 19:37:57,0.189s,PASSED
"click(findTestObject(""ContactUsPage/ContactUs-Link""))",Chrome 88.0.4324.190,,,2021-03-09 19:37:57,2021-03-09 19:37:59,2.021s,PASSED
"waitForElementVisible(findTestObject(""ContactUsPage/Name-Input""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:37:59,2021-03-09 19:37:59,0.540s,PASSED
"setText(findTestObject(""ContactUsPage/Name-Input""), ""foti#3$4%5"")",Chrome 88.0.4324.190,,,2021-03-09 19:37:59,2021-03-09 19:38:00,0.800s,PASSED
"setText(findTestObject(""ContactUsPage/Email-Input""), Email)",Chrome 88.0.4324.190,,,2021-03-09 19:38:00,2021-03-09 19:38:02,2.231s,PASSED
"setText(findTestObject(""ContactUsPage/TextBox-Input""), TextBox)",Chrome 88.0.4324.190,,,2021-03-09 19:38:02,2021-03-09 19:38:03,0.866s,PASSED
delay(2),Chrome 88.0.4324.190,,,2021-03-09 19:38:03,2021-03-09 19:38:05,2.005s,PASSED
"click(findTestObject(""ContactUsPage/SubmitBtn""))",Chrome 88.0.4324.190,,,2021-03-09 19:38:05,2021-03-09 19:38:05,0.479s,PASSED
delay(2),Chrome 88.0.4324.190,,,2021-03-09 19:38:05,2021-03-09 19:38:07,2.005s,PASSED
closeBrowser(),Chrome 88.0.4324.190,,,2021-03-09 19:38:07,2021-03-09 19:38:08,0.800s,PASSED
,,,,,,,
Test Cases/2.ContactUsPage/TC-ContactUs-012,Chrome 88.0.4324.190,Email is uncorect,Email nije validan,2021-03-09 19:38:08,2021-03-09 19:38:25,16.720s,PASSED
"openBrowser(""https://www.banatbar.rs/en"")",Chrome 88.0.4324.190,,,2021-03-09 19:38:09,2021-03-09 19:38:14,4.696s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:38:14,2021-03-09 19:38:14,0.020s,PASSED
maximizeWindow(),Chrome 88.0.4324.190,,,2021-03-09 19:38:14,2021-03-09 19:38:14,0.134s,PASSED
"click(findTestObject(""ContactUsPage/ContactUs-Link""))",Chrome 88.0.4324.190,,,2021-03-09 19:38:14,2021-03-09 19:38:16,1.773s,PASSED
"waitForElementVisible(findTestObject(""ContactUsPage/Name-Input""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:38:16,2021-03-09 19:38:16,0.528s,PASSED
"setText(findTestObject(""ContactUsPage/Name-Input""), Name)",Chrome 88.0.4324.190,,,2021-03-09 19:38:16,2021-03-09 19:38:17,0.831s,PASSED
"setText(findTestObject(""ContactUsPage/Email-Input""), EmailInvalid)",Chrome 88.0.4324.190,,,2021-03-09 19:38:17,2021-03-09 19:38:18,1.540s,PASSED
"setText(findTestObject(""ContactUsPage/TextBox-Input""), TextBox)",Chrome 88.0.4324.190,,,2021-03-09 19:38:18,2021-03-09 19:38:19,0.850s,PASSED
delay(2),Chrome 88.0.4324.190,,,2021-03-09 19:38:19,2021-03-09 19:38:21,2.005s,PASSED
"click(findTestObject(""ContactUsPage/SubmitBtn""))",Chrome 88.0.4324.190,,,2021-03-09 19:38:21,2021-03-09 19:38:22,0.427s,PASSED
"verifyElementText(findTestObject(""ContactUsPage/EmailInvalid""), ""Email nije validan."")",Chrome 88.0.4324.190,,,2021-03-09 19:38:22,2021-03-09 19:38:22,0.521s,PASSED
delay(2),Chrome 88.0.4324.190,,,2021-03-09 19:38:22,2021-03-09 19:38:24,2.005s,PASSED
closeBrowser(),Chrome 88.0.4324.190,,,2021-03-09 19:38:24,2021-03-09 19:38:25,0.797s,PASSED
,,,,,,,
Test Cases/2.ContactUsPage/TC-ContactUs-013,Chrome 88.0.4324.190,Road map is zoomed out,ZoomOut,2021-03-09 19:38:25,2021-03-09 19:38:40,15.121s,PASSED
"openBrowser(""https://www.banatbar.rs/en"")",Chrome 88.0.4324.190,,,2021-03-09 19:38:26,2021-03-09 19:38:30,4.797s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:38:30,2021-03-09 19:38:31,0.026s,PASSED
maximizeWindow(),Chrome 88.0.4324.190,,,2021-03-09 19:38:31,2021-03-09 19:38:31,0.141s,PASSED
"click(findTestObject(""ContactUsPage/ContactUs-Link""))",Chrome 88.0.4324.190,,,2021-03-09 19:38:31,2021-03-09 19:38:33,2.772s,PASSED
"scrollToElement(findTestObject(""ContactUsPage/SubmitBtn""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:38:33,2021-03-09 19:38:34,0.519s,PASSED
"waitForElementVisible(findTestObject(""ContactUsPage/ZoomOut""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:38:34,2021-03-09 19:38:37,3.030s,PASSED
"click(findTestObject(""ContactUsPage/ZoomOut""))",Chrome 88.0.4324.190,,,2021-03-09 19:38:37,2021-03-09 19:38:38,0.745s,PASSED
delay(1),Chrome 88.0.4324.190,,,2021-03-09 19:38:38,2021-03-09 19:38:39,1.014s,PASSED
closeBrowser(),Chrome 88.0.4324.190,,,2021-03-09 19:38:39,2021-03-09 19:38:40,1.425s,PASSED
,,,,,,,
Test Cases/2.ContactUsPage/TC-ContactUs-014,Chrome 88.0.4324.190,Zoom In Road Map,Zoom In,2021-03-09 19:38:40,2021-03-09 19:38:56,15.435s,PASSED
"openBrowser(""https://www.banatbar.rs/en"")",Chrome 88.0.4324.190,,,2021-03-09 19:38:41,2021-03-09 19:38:46,5.040s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:38:46,2021-03-09 19:38:46,0.140s,PASSED
maximizeWindow(),Chrome 88.0.4324.190,,,2021-03-09 19:38:46,2021-03-09 19:38:46,0.208s,PASSED
"click(findTestObject(""ContactUsPage/ContactUs-Link""))",Chrome 88.0.4324.190,,,2021-03-09 19:38:46,2021-03-09 19:38:49,2.432s,PASSED
